KOD_FASILITI,NAMA,ALAMAT,POSKOD,NEGERI,DAERAH,STATUS,SEKTOR,KATEGORI_FASILITI,JENIS_FASILITI
21-10060081,KD BAGAN PASIR,"JALAN BAGAN PASIR, TANJONG KARANG",45500,SELANGOR,KUALA SELANGOR,BUKA,AWAM,KLINIK,KLINIK DESA
21-10060096,KD BUKIT BADONG,JALAN DATO' KARJAN,45600,SELANGOR,KUALA SELANGOR,BUKA,AWAM,KLINIK,KLINIK DESA
21-10060098,KD BUKIT BELIMBING,BUKIT BELIMBING,45000,SELANGOR,KUALA SELANGOR,BUKA,AWAM,KLINIK,KLINIK DESA
21-10060101,KD BUKIT KERAYONG,"JKR 177, JALAN SEKOLAH, KAPAR, KLANG",45800,SELANGOR,KUALA SELANGOR,BUKA,AWAM,KLINIK,KLINIK DESA
21-10060153,KD PASIR PENAMBANG,PASIR PENAMBANG,45000,SELANGOR,KUALA SELANGOR,BUKA,AWAM,KLINIK,KLINIK DESA
21-10060158,KD PUNCAK ALAM,"89 LORONG NALURI SUKMA 8/14, BANDAR PUNCAK ALAM",45010,SELANGOR,KUALA SELANGOR,BUKA,AWAM,KLINIK,KLINIK DESA
21-10060159,KD RAJA MUSA,"BATU 8 JALAN RAJA MUSA, BESTARI JAYA",45600,SELANGOR,KUALA SELANGOR,BUKA,AWAM,KLINIK,KLINIK DESA
21-10060164,KD SAWAH SEMPADAN,TANJUNG KARANG,45500,SELANGOR,KUALA SELANGOR,BUKA,AWAM,KLINIK,KLINIK DESA
21-10060174,KD SRI TIRAM JAYA,"SRI TIRAM JAYA, TANJONG KARANG",45500,SELANGOR,KUALA SELANGOR,BUKA,AWAM,KLINIK,KLINIK DESA
21-10060179,KD SUNGAI BURONG,"BATU 12, JALAN BERNAM, TANJUNG KARANG",45500,SELANGOR,KUALA SELANGOR,BUKA,AWAM,KLINIK,KLINIK DESA
21-10060181,KD SUNGAI GULANG-GULANG,"JALAN SUNGAI GULANG-GULANG, TANJUNG KARANG",45500,SELANGOR,KUALA SELANGOR,BUKA,AWAM,KLINIK,KLINIK DESA
21-10060187,KD SUNGAI SIREH,"KAMPUNG SUNGAI SIREH, TANJONG KARANG",45500,SELANGOR,KUALA SELANGOR,BUKA,AWAM,KLINIK,KLINIK DESA
21-10060198,KD TIRAM SETIA,TANJUNG KARANG,45500,SELANGOR,KUALA SELANGOR,BUKA,AWAM,KLINIK,KLINIK DESA
21-10060225,KD PARIT EMPAT,"BAN 2, TANJUNG KARANG",45500,SELANGOR,KUALA SELANGOR,BUKA,AWAM,KLINIK,KLINIK DESA
21-10060227,KD JAYA SETIA,BESTARI JAYA,45600,SELANGOR,KUALA SELANGOR,BUKA,AWAM,KLINIK,KLINIK DESA
21-10070119,KD KAMPUNG DAMANSARA,JALAN.17A/9 SEKSYEN 17,46400,SELANGOR,PETALING,BUKA,AWAM,KLINIK,KLINIK DESA
21-10070142,KD MERBAU SEMPAK,"BT18, JALAN KUALA SELANGOR, SUNGAI BULOH",47000,SELANGOR,PETALING,BUKA,AWAM,KLINIK,KLINIK DESA
21-10080090,KD BATU 4 SEPINTAS,JALAN SEKOLAH,45200,SELANGOR,SABAK BERNAM,BUKA,AWAM,KLINIK,KLINIK DESA
21-10080115,KD KAMPUNG BANTING,"JALAN KAMPUNG. BANTING, SUNGAI AIR TAWAR",45100,SELANGOR,SABAK BERNAM,BUKA,AWAM,KLINIK,KLINIK DESA
21-10080116,KD KAMPUNG BARU,JALAN KAMPUNG. BARU,45200,SELANGOR,SABAK BERNAM,BUKA,AWAM,KLINIK,KLINIK DESA
21-10080117,KD KAMPUNG BATU 38,JALAN SEKENDI BATU 38,45200,SELANGOR,SABAK BERNAM,BUKA,AWAM,KLINIK,KLINIK DESA
21-10080131,KD KAMPUNG SUNGAI PULAI,JALAN BAGAN SUNGAI PULAI,45200,SELANGOR,SABAK BERNAM,BUKA,AWAM,KLINIK,KLINIK DESA
21-10080132,KD KAMPUNG SUNGAI TENGAR,JALAN BESAR SUNGAI. TENGAR,45100,SELANGOR,SABAK BERNAM,BUKA,AWAM,KLINIK,KLINIK DESA
21-10080141,KD LUBUK PUSING,"JALAN PT. 13 KAMPUNG. TOK KHALIFAH, SUNGAI BESAR",45100,SELANGOR,SABAK BERNAM,BUKA,AWAM,KLINIK,KLINIK DESA
21-10080146,KD PARIT 12,"JALAN PARIT 12 TIMUR, SUNGAI BESAR",45300,SELANGOR,SABAK BERNAM,BUKA,AWAM,KLINIK,KLINIK DESA
21-10080147,KD PARIT 4,"JALAN PEKET 20, KAMPUNG SUNGAI. HAJI DORANI JALAN PEKAN SELASA, SUNGAI BESAR",45300,SELANGOR,SABAK BERNAM,BUKA,AWAM,KLINIK,KLINIK DESA
21-10080148,KD PARIT 6,"JALAN PARIT 6 TIMUR, SUNGAI BESAR",45300,SELANGOR,SABAK BERNAM,BUKA,AWAM,KLINIK,KLINIK DESA
21-10080149,KD PARIT 9 SUNGAI BESAR,JALAN PARIT 9 BARAT SUNGAI BESAR,45300,SELANGOR,SABAK BERNAM,BUKA,AWAM,KLINIK,KLINIK DESA
21-10080150,KD PARIT 9,"JALAN PARIT 9, KAMPUNG. SUNGAI. LEMAN, SEKINCAN",45400,SELANGOR,SABAK BERNAM,BUKA,AWAM,KLINIK,KLINIK DESA
21-10080151,KD PARIT BARU BAROH,"JALAN BAGAN PARIT BARU BAROH, SUNGAI AIR TAWAR",45100,SELANGOR,SABAK BERNAM,BUKA,AWAM,KLINIK,KLINIK DESA
21-10080152,KD PASIR PANJANG,"JALAN BESAR PEKAN PASIR PANJANG, SEKINCAN",45400,SELANGOR,SABAK BERNAM,BUKA,AWAM,KLINIK,KLINIK DESA
21-10080171,KD SIMPANG 4,"JALAN BAGAN NAKHODA OMAR, SUNGAI AIR TAWAR",45100,SELANGOR,SABAK BERNAM,BUKA,AWAM,KLINIK,KLINIK DESA
21-10080180,KD SUNGAI BURUNG,JALAN PANCANG BEDENA,45300,SELANGOR,SABAK BERNAM,BUKA,AWAM,KLINIK,KLINIK DESA
21-10080183,KD SUNGAI NIBONG,"JALAN BESAR KAMPUNG. SUNGAI NIBONG, SEKINCAN",45400,SELANGOR,SABAK BERNAM,BUKA,AWAM,KLINIK,KLINIK DESA
21-10080193,KD TEBUK MUFRAT,"BATU 1, JALAN FERI, JALAN TEBUK MUFRAT, SUNGAI AIR TAWAR",45100,SELANGOR,SABAK BERNAM,BUKA,AWAM,KLINIK,KLINIK DESA
21-10080196,KD TELUK RHU,"JALAN BESAR KAMPUNG. TELUK RHU, SUNGAI AIR TAWAR",45100,SELANGOR,SABAK BERNAM,BUKA,AWAM,KLINIK,KLINIK DESA
21-10090097,KD BUKIT BANGKONG,SUNGAI PELEK,43950,SELANGOR,SEPANG,BUKA,AWAM,KLINIK,KLINIK DESA
21-10090106,KD GECHING,JALAN LABU LANJUT,43900,SELANGOR,SEPANG,BUKA,AWAM,KLINIK,KLINIK DESA
21-10090113,KD JENDERAM HULU,"KAMPUNG JENDERAM HULU, DENGKIL",43800,SELANGOR,SEPANG,BUKA,AWAM,KLINIK,KLINIK DESA
21-10090176,KD SUNGAI BUAH,"JKR 248, BATU 30, JALAN KAJANG, DENGKIL",43800,SELANGOR,SEPANG,BUKA,AWAM,KLINIK,KLINIK DESA
21-10090201,KD ULU CHUCUH,SUNGAI PELEK,43950,SELANGOR,SEPANG,BUKA,AWAM,KLINIK,KLINIK DESA
21-10020203,KKIA CHERAS BARU,"JALAN 49 BUKIT E, CHERAS BARU",43000,SELANGOR,HULU LANGAT,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-10072313,KK DESA PUTRA,"JALAN UTAMA DESA PUTRA, KAJANG",43000,SELANGOR,SEPANG,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-10020232,KK TAMAN NIRWANA,"KAMPUNG PANDAN, HULU LANGAT",55100,SELANGOR,HULU LANGAT,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-10030231,KKIA BUKIT SENTOSA,"JALAN SEROJA, 1A BUKIT SENTOSA",44200,SELANGOR,HULU SELANGOR,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-10030205,KKIA KUALA KUBU BARU,JALAN KOLAM AIR,44000,SELANGOR,HULU SELANGOR,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-14010009,KK BANDAR TUN RAZAK,"NO. 16 & 18 JALAN JUJUR 3, BANDAR TUN RAZAK",56000,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-14010010,KK BATU MUDA,"NO. 7, JALAN 3/124, TAMAN BATU MUDA",51100,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-14010011,KK CHERAS,"NO. 14, JALAN YAACOB LATIF, CHERAS, KUALA LUMPUR",56000,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-14010012,KK CHERAS BARU,JALAN 16 KAMPUNG CHERAS BARU,56100,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-14010013,KK DATO' KERAMAT,"PT 1199, JALAN ENGGANG SELATAN 2, TAMAN KERAMAT",54000,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-14010014,KK JINJANG,"NO.2, JALAN JINJANG SETIA 3, JINJANG UTARA TAMBAHAN",52000,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-14010015,KK KAMPUNG PANDAN,"JALAN BELANGKAS, KAMPUNG PANDAN",55100,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-14010017,KK PETALING BAHAGIA,"BATU 6, JALAN PUCHONG",58200,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-14010018,KK SENTUL,"TINGKAT 2, KOMPLEKS PERNIAGAAN & KOMUNITI, JALAN 3/48A, BANDAR BARU SENTUL",51000,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-14010019,KK SETAPAK,"TINGKAT 2, WISMA RAMPAI, BLOK PASIFIK, JALAN. 34/26, TAMAN SRI RAMPAI",53200,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-14010020,KK SUNGAI BESI,"NO.80 & 80-1, JALAN TASIK UTAMA 5, MEDAN NIAGA TASIK DAMAI, SUNGAI BESI, KUALA LUMPUR",57000,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-14010021,KK TANGLIN,"JALAN CENDERASARI, KUALA LUMPUR",50590,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-14010069,KK UTC PUDU SENTRAL,"ARAS G LOT A42-A46 PUDU SENTRAL, JALAN PUDU",55100,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-14010082,KK UTC KERAMAT MALL,"LOT NO. 3, TINGKAT UG, UTC KERAMAT MALL, JALAN DATO' KERAMAT",51200,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-14010411,KK KUALA LUMPUR,"LOT 151 & 116, JALAN TEMERLOH, TAMAN TASIK TITIWANGSA",53200,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-14010059,KK SEGAMBUT,"LOT 13725 SEGAMBUT TENGAH, KUALA LUMPUR",52100,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-14010039,KK SALAK SELATAN,"LOT 13836, JALAN 1, SALAK SELATAN",57100,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-14010058,KK MUHIBBAH,"KOMPLEKS KOMUNITI MUHIBBAH, JALAN 1/152 JALAN. OUG",58200,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-16010003,KK PUTRAJAYA PRESINT 9,"NO 1, JALAN PRESINT 9E, PRESINT 9, PUTRAJAYA",62250,WILAYAH PERSEKUTUAN PUTRAJAYA,WILAYAH PERSEKUTUAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-16010008,KK PUTRAJAYA PRESINT 14,"LOT BILIK BACAAN, BLOK E, KUARTERS KAKITANGAN KERAJAAN PRESINT 14, PUTRAJAYA",62250,WILAYAH PERSEKUTUAN PUTRAJAYA,WILAYAH PERSEKUTUAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-16010009,KK PUTRAJAYA PRESINT 11,"KUARTERS PENJAWAT AWAM, ZON 6B, JALAN P11J, PRESINT 11, PUTRAJAYA",62300,WILAYAH PERSEKUTUAN PUTRAJAYA,WILAYAH PERSEKUTUAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-16010010,KK PUTRAJAYA PRESINT 18,"JALAN P18C1, PRESINT 18, PUTRAJAYA",62500,WILAYAH PERSEKUTUAN PUTRAJAYA,WILAYAH PERSEKUTUAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-14010048,KKOM KERINCHI,"ARAS BAWAH BLOK E, PPR KERINCHI, JALAN PANTAI PERMAI 1, JALAN PANTAI PERMAI",59200,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KOMUNITI
21-14010049,KKOM PERKASA,"B-0-1, BLOK B, PPR PERKASA, JALAN NAKHODA YUSOF, KAMPUNG PANDAN",55100,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KOMUNITI
21-14010050,KKOM TAMAN MELATI,"DEWAN SERBAGUNA, PUSAT KONUNITI GOMBAK, TAMAN MELATI",53100,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KOMUNITI
21-14010051,KKOM INTAN BAIDURI,"B-0-5, BLOK B, KEPONG UTARA, MUKIM BATU, KEPONG",52100,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KOMUNITI
21-14010052,KKOM DESA REJANG,"BLOK B-0-1, PPR DESA REJANG, SETAPAK",53300,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KOMUNITI
21-14010054,KKOM DESA TUN RAZAK,"TINGKAT BAWAH BLOK 8, PPR DESA TUN RAZAK",56000,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KOMUNITI
21-14010065,KKOM METRO PRIMA,"NO 5 & 7, JALAN PRIMA 7, METRO PRIMA",52100,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KOMUNITI
21-14010057,KKOM SERI MALAYSIA,"A-0-5, PPR SERI MALAYSIA, SUNGAI BESI",57100,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KOMUNITI
21-14010064,KKOM PPR SERI ALAM,"PPR SERI ALAM BLOK 1, JALAN SUNGAI BESI PUDU",56000,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KOMUNITI
21-14010067,KKOM KUCHAI ENT.PARK,"NO 47 & 49 JALAN 10/116B, KUCHAI ENT.PARK",58200,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KOMUNITI
21-14010066,KKOM HANG TUAH,BANGUNAN KLINIK KESIHATAN IBU ANAK HANG TUAH,55200,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KOMUNITI
21-14010061,KKOM FLAT DANAU KOTA,ARAS BAWAH BLOK D FLAT DANAU KOTA SETAPAK,53300,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KOMUNITI
21-14010077,KKOM TAMAN TUN DR ISMAIL,"JALAN TUN MOHD FUAD, TAMAN TUN DR ISMAIL, KUALA LUMPUR",60000,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KOMUNITI
21-14010079,KKOM SUNGAI MULIA JALAN GOMBAK,"BANGUNAN KUARTERS LAMA KAKITANGAN JKWPKL&P SUNGAI MULIA, JALAN GOMBAK, KUALA LUMPUR",53000,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KOMUNITI
21-14010084,KKOM PINGGIRAN BUKIT JALIL,"BLOK E (ARAS BAWAH) PPR PINGGIRAN BUKIT JALIL, (JALAN BUKIT JALIL INDAH 1), BUKIT JALIL",57000,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KOMUNITI
21-14010086,KKOM PANTAI RIA,"ARAS BAWAH KOLONG BLOK A, PPR PANTAI RIA, JALAN. KAMPUNG PASIR, KAMPUNG PASIR, OFF JALAN. KLANG LAMA, PANTAI DALAM, KUALA LUMPUR",59200,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KOMUNITI
21-14010412,KKOM RAYA PERMAI,"D-00-01, PPR RAYA PERMAI, JALAN SUNGAI BESI, WILAYAH PERSEKUTUAN, SUNGAI BESI, KUALA LUMPUR",57100,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KOMUNITI
21-14010413,KKOM TAMAN WAHYU,"C-00-09, BLOK C, TINGKAT BAWAH, PPR TAMAN WAHYU 2, BATU 6 1/2, JALAN IPOH, KUALA LUMPUR",51200,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KOMUNITI
21-14010033,KKIA BANDAR TUN RAZAK,"BLOK 90-00-05, FLAT SRI KOTA, BANDAR TUN RAZAK",56000,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-14010035,KKIA TAMAN SRI SENTOSA,"BLOK 67-00-01 & 67-00-02, TAMAN SRI SENTOSA",55800,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-14010036,KKIA TAMAN PANTAI INDAH,"NO 7, JALAN 2/ 112 F, TAMAN PANTAI INDAH, JALAN PANTAI DALAM, BANGSAR",59100,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-14010037,KKIA CHERAS MAKMUR,"NO 16 & 18 JALAN 2/96 A, TAMAN CHERAS MAKMUR",56100,WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR DAN PUTRAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-05020034,KK LUI MUDA,"BANDAR SRI JEMPOL, BAHAU",72120,NEGERI SEMBILAN,JEMPOL,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05020038,KK PALONG 4,"KLINIK KESIHATAN PALONG 4,5,6, GEMAS",73430,NEGERI SEMBILAN,JEMPOL,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05020050,KK SERTING HILIR,"SERTING HILIR, BANDAR SRI JEMPOL",72120,NEGERI SEMBILAN,JEMPOL,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05020028,KK BANDAR SERI JEMPOL,BANDAR SERI JEMPOL,72120,NEGERI SEMBILAN,JEMPOL,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05020040,KK PALONG 9,"JKR 861, KLINIK KESIHATAN PALONG, 9,10,11, GEMAS",73430,NEGERI SEMBILAN,JEMPOL,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05010027,KK JELEBU,KUALA KLAWANG,71600,NEGERI SEMBILAN,JELEBU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05010086,KK PASOH 1,"PASOH 1, SIMPANG PERTANG",72300,NEGERI SEMBILAN,JELEBU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05010043,KK PERTANG,SIMPANG PERTANG,72300,NEGERI SEMBILAN,JELEBU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05010051,KK SIMPANG DURIAN,SIMPANG DURIAN,72400,NEGERI SEMBILAN,JELEBU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05010063,KK CHENNAH,"KLINIK KESIHATAN CHENNAH, KAMPUNG. CHENNAH",71650,NEGERI SEMBILAN,JELEBU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05030025,KK GUNUNG PASIR,SRI MENANTI,71550,NEGERI SEMBILAN,KUALA PILAH,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05030037,KK PADANG LEBAR,BATU KIKIR,72200,NEGERI SEMBILAN,KUALA PILAH,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05030052,KK SRI MENANTI,SRI MENANTI,71550,NEGERI SEMBILAN,KUALA PILAH,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05030054,KK TERACHI,TANJONG IPOH,71500,NEGERI SEMBILAN,KUALA PILAH,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05040033,KK LINGGI,DAERAH PORT DICKSON,71150,NEGERI SEMBILAN,PORT DICKSON,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05040130,KK LUKUT,"KM 10, JALAN SEREMBAN, LUKUT",71010,NEGERI SEMBILAN,PORT DICKSON,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05040041,KK PASIR PANJANG,PASIR PANJANG,71250,NEGERI SEMBILAN,PORT DICKSON,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05040044,KK PORT DICKSON,"KM 1, JALAN SEREMBAN",71000,NEGERI SEMBILAN,PORT DICKSON,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05040126,KK BAGAN PINANG,"BATU 4, JALAN PANTAI",71050,NEGERI SEMBILAN,PORT DICKSON,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05050020,KK ASTANA RAJA,"KAMPUNG. ASTANA RAJA, KOTA",71350,NEGERI SEMBILAN,REMBAU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05050042,KK PEDAS,PEKAN PEDAS,71400,NEGERI SEMBILAN,REMBAU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05050047,KK REMBAU,JALAN BATU HAMPAR,71300,NEGERI SEMBILAN,REMBAU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05060019,KK AMPANGAN,"KM 4, JALAN SEREMBAN-KUALA PILAH",70400,NEGERI SEMBILAN,SEREMBAN,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05060035,KK MANTIN,JALAN BESAR MANTIN,71700,NEGERI SEMBILAN,SEREMBAN,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05060036,KK NILAI,"JALAN BESAR, PEKAN NILAI",71800,NEGERI SEMBILAN,SEREMBAN,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05060179,KK SENAWANG,PERSIARAN SENAWANG 2,70450,NEGERI SEMBILAN,SEREMBAN,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05060048,KK SENDAYAN,FELDA SENDAYAN,71950,NEGERI SEMBILAN,SEREMBAN,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05060049,KK SEREMBAN,JALAN RASAH,70300,NEGERI SEMBILAN,SEREMBAN,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05060180,KK SEREMBAN 2,JALAN S2 A2,70300,NEGERI SEMBILAN,SEREMBAN,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-05060206,KK SIKAMAT,"KLINIK KESIHATAN SIKAMAT, JALAN. TUNKU KURSHIAH",70400,NEGERI SEMBILAN,SEREMBAN,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
